,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.0009972095489501954,0.0006310536274765756,0.0009974002838134765,0.0015450181446683084,1,auto,"{'max_depth': 1, 'max_features': 'auto'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6,0.6666666666666666,0.6533333333333333,0.02666666666666666,27,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6333333333333333,0.6666666666666666,0.6599999999999999,0.01333333333333333
1,0.0007973194122314453,0.0003986603441889765,0.00019898414611816407,0.00039796829223632814,1,sqrt,"{'max_depth': 1, 'max_features': 'sqrt'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,25,0.6666666666666666,0.6666666666666666,0.6166666666666667,0.6666666666666666,0.6666666666666666,0.6566666666666666,0.019999999999999976
2,0.0003987789154052734,0.0004884025769447337,0.0001995086669921875,0.000399017333984375,1,log2,"{'max_depth': 1, 'max_features': 'log2'}",0.6333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.66,0.013333333333333329,26,0.625,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6583333333333332,0.016666666666666653
3,0.00039916038513183595,0.0004888697798968971,0.0003990650177001953,0.0004887528395952576,2,auto,"{'max_depth': 2, 'max_features': 'auto'}",0.9333333333333333,0.9666666666666667,0.9,0.9333333333333333,0.6666666666666666,0.88,0.10873004286866729,24,0.9583333333333334,0.9583333333333334,0.975,0.9583333333333334,0.7666666666666667,0.9233333333333335,0.07859884081701063
4,0.0005985260009765625,0.0004886947358175402,0.00019931793212890625,0.0003986358642578125,2,sqrt,"{'max_depth': 2, 'max_features': 'sqrt'}",0.9666666666666667,0.8333333333333334,0.8666666666666667,0.8666666666666667,1.0,0.9066666666666666,0.06463573143221771,22,0.9,0.8166666666666667,0.975,0.8083333333333333,0.9,0.8800000000000001,0.061599062041921095
5,0.0011966705322265625,0.0009777588822113287,0.00019931793212890625,0.0003986358642578125,2,log2,"{'max_depth': 2, 'max_features': 'log2'}",0.9666666666666667,0.9666666666666667,0.9,0.9333333333333333,1.0,0.9533333333333334,0.03399346342395189,4,0.9583333333333334,0.9583333333333334,0.975,0.9583333333333334,0.9,0.95,0.02581988897471611
6,0.00019969940185546876,0.0003993988037109375,0.00039796829223632814,0.00048741298363828557,3,auto,"{'max_depth': 3, 'max_features': 'auto'}",0.9666666666666667,0.9666666666666667,0.9,1.0,1.0,0.9666666666666667,0.036514837167011066,1,0.9666666666666667,0.9583333333333334,0.975,0.975,0.9583333333333334,0.9666666666666666,0.007453559924999272
7,0.0,0.0,0.000399017333984375,0.0004886944333937081,3,sqrt,"{'max_depth': 3, 'max_features': 'sqrt'}",0.9666666666666667,0.9666666666666667,0.8666666666666667,0.9666666666666667,0.6666666666666666,0.8866666666666667,0.11661903789690603,23,0.9583333333333334,0.9666666666666667,0.9833333333333333,0.9666666666666667,0.775,0.93,0.07792446485040638
8,0.0001994609832763672,0.0003989219665527344,0.0007982254028320312,0.0007465441493346462,3,log2,"{'max_depth': 3, 'max_features': 'log2'}",0.9666666666666667,0.9666666666666667,0.9,0.9,1.0,0.9466666666666667,0.03999999999999999,13,0.9583333333333334,0.9666666666666667,0.975,0.9666666666666667,0.9416666666666667,0.9616666666666667,0.011303883305208779
9,0.0003985881805419922,0.0004881691151992473,0.0005980491638183594,0.0004883057105747429,4,auto,"{'max_depth': 4, 'max_features': 'auto'}",0.9666666666666667,0.9666666666666667,0.8333333333333334,0.9,1.0,0.9333333333333333,0.059628479399994376,20,0.9666666666666667,0.975,0.9833333333333333,0.9916666666666667,0.975,0.9783333333333333,0.00849836585598798
10,0.0007980823516845703,0.00039904130048602304,0.000399017333984375,0.0004886944333937081,4,sqrt,"{'max_depth': 4, 'max_features': 'sqrt'}",0.9333333333333333,0.9333333333333333,0.8666666666666667,0.9666666666666667,1.0,0.94,0.044221663871405324,18,0.9666666666666667,0.975,0.9916666666666667,0.9916666666666667,0.9833333333333333,0.9816666666666667,0.009718253158075512
11,0.0003990650177001953,0.0004887528395952576,0.0003984928131103516,0.00048805231449472176,4,log2,"{'max_depth': 4, 'max_features': 'log2'}",0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9,0.9666666666666667,0.9466666666666667,0.02666666666666666,13,0.975,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.975,0.985,0.008164965809277286
12,0.0005985736846923828,0.0004887333747384832,0.0003991127014160156,0.0004888112574243273,5,auto,"{'max_depth': 5, 'max_features': 'auto'}",0.9666666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9666666666666667,0.9466666666666667,0.016329931618554516,13,0.9583333333333334,0.9833333333333333,1.0,1.0,0.9916666666666667,0.9866666666666667,0.015456030825826163
13,0.0005985260009765625,0.0004886944333937081,0.0004010200500488281,0.0004911628968806652,5,sqrt,"{'max_depth': 5, 'max_features': 'sqrt'}",0.9666666666666667,0.9666666666666667,0.9,0.9333333333333333,1.0,0.9533333333333334,0.03399346342395189,4,0.9833333333333333,1.0,0.9916666666666667,1.0,0.9833333333333333,0.9916666666666666,0.007453559924999322
