,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.003391742706298828,0.0025703081170436117,0.00039882659912109374,0.0004884608551226126,0.1,1,"{'learning_rate': 0.1, 'n_estimators': 1}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,82,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0
1,0.014960384368896485,0.0006309772735904928,0.0013957023620605469,0.0004883248572323275,0.1,11,"{'learning_rate': 0.1, 'n_estimators': 11}",0.9666666666666667,0.9333333333333333,0.9,0.9,1.0,0.94,0.038873012632301994,58,0.925,0.9166666666666666,0.975,0.9333333333333333,0.9083333333333333,0.9316666666666666,0.023213980461973528
2,0.047272109985351564,0.022827586744872508,0.003591012954711914,0.0013527408325734026,0.1,21,"{'learning_rate': 0.1, 'n_estimators': 21}",0.9666666666666667,0.9333333333333333,0.9,0.9,1.0,0.94,0.038873012632301994,58,0.925,0.9166666666666666,0.975,0.9333333333333333,0.9083333333333333,0.9316666666666666,0.023213980461973528
3,0.045279502868652344,0.0018504811286990139,0.0055846691131591795,0.002720232731754164,0.1,31,"{'learning_rate': 0.1, 'n_estimators': 31}",0.9666666666666667,0.9333333333333333,0.9,0.9,1.0,0.94,0.038873012632301994,58,0.925,0.9166666666666666,0.975,0.9333333333333333,0.9083333333333333,0.9316666666666666,0.023213980461973528
4,0.07061152458190918,0.007230418932031908,0.006781721115112304,0.0011628920646884124,0.1,41,"{'learning_rate': 0.1, 'n_estimators': 41}",0.9666666666666667,0.9333333333333333,0.9,0.9,1.0,0.94,0.038873012632301994,58,0.925,0.9166666666666666,0.975,0.9333333333333333,0.9083333333333333,0.9316666666666666,0.023213980461973528
5,0.10252575874328614,0.026291825206863184,0.017153358459472655,0.008160629306085129,0.1,51,"{'learning_rate': 0.1, 'n_estimators': 51}",0.9666666666666667,0.9333333333333333,0.9,0.9,1.0,0.94,0.038873012632301994,58,0.925,0.9166666666666666,0.975,0.9333333333333333,0.9083333333333333,0.9316666666666666,0.023213980461973528
6,0.14900131225585939,0.020348125154247474,0.011770057678222656,0.0036981379310782403,0.1,61,"{'learning_rate': 0.1, 'n_estimators': 61}",0.9666666666666667,0.9333333333333333,0.9,0.9,1.0,0.94,0.038873012632301994,58,0.925,0.9166666666666666,0.975,0.9333333333333333,0.9083333333333333,0.9316666666666666,0.023213980461973528
7,0.17074522972106934,0.049074419953077514,0.026925277709960938,0.015745972076960994,0.1,71,"{'learning_rate': 0.1, 'n_estimators': 71}",0.9666666666666667,0.9333333333333333,0.9,0.9,1.0,0.94,0.038873012632301994,58,0.925,0.9166666666666666,0.975,0.9333333333333333,0.9083333333333333,0.9316666666666666,0.023213980461973528
8,0.23313612937927247,0.06647938274859369,0.01696786880493164,0.009087346733987953,0.1,81,"{'learning_rate': 0.1, 'n_estimators': 81}",0.9666666666666667,0.9333333333333333,0.9,0.9,1.0,0.94,0.038873012632301994,58,0.925,0.9166666666666666,0.975,0.9333333333333333,0.9083333333333333,0.9316666666666666,0.023213980461973528
9,0.24503374099731445,0.08478216190511481,0.018834972381591798,0.004795639506288671,0.1,91,"{'learning_rate': 0.1, 'n_estimators': 91}",0.9666666666666667,0.9333333333333333,0.9,0.9,1.0,0.94,0.038873012632301994,58,0.925,0.9166666666666666,0.975,0.9333333333333333,0.9083333333333333,0.9316666666666666,0.023213980461973528
10,0.00319366455078125,0.0013229166861724968,0.00019960403442382814,0.00039920806884765627,0.2,1,"{'learning_rate': 0.2, 'n_estimators': 1}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,82,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0
11,0.018950510025024413,0.008052317139571252,0.0019935131072998046,0.0006309806248515521,0.2,11,"{'learning_rate': 0.2, 'n_estimators': 11}",0.9666666666666667,0.9333333333333333,0.9,0.9,1.0,0.94,0.038873012632301994,58,0.925,0.9166666666666666,0.975,0.9333333333333333,0.9083333333333333,0.9316666666666666,0.023213980461973528
12,0.03510651588439941,0.0037533328416621296,0.0031914710998535156,0.0003991128723253547,0.2,21,"{'learning_rate': 0.2, 'n_estimators': 21}",0.9666666666666667,0.9666666666666667,0.9,0.9,1.0,0.9466666666666667,0.03999999999999999,14,0.925,0.925,0.975,0.9333333333333333,0.9083333333333333,0.9333333333333333,0.022360679774997883
13,0.04667515754699707,0.004820354278929265,0.006183242797851563,0.0034195873632733935,0.2,31,"{'learning_rate': 0.2, 'n_estimators': 31}",0.9666666666666667,0.9333333333333333,0.9,0.9,1.0,0.94,0.038873012632301994,58,0.925,0.9166666666666666,0.975,0.9333333333333333,0.9083333333333333,0.9316666666666666,0.023213980461973528
14,0.07200784683227539,0.007006656473560129,0.00678105354309082,0.00270552200829412,0.2,41,"{'learning_rate': 0.2, 'n_estimators': 41}",0.9666666666666667,0.9333333333333333,0.9,0.9,1.0,0.94,0.038873012632301994,58,0.925,0.9166666666666666,0.975,0.9333333333333333,0.9083333333333333,0.9316666666666666,0.023213980461973528
