,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.0012006282806396485,0.0004064086875792927,0.0011930465698242188,0.000742363068709104,1,0.0,linear,"{'C': 1, 'gamma': 0.0, 'kernel': 'linear'}",0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,1.0,0.98,0.016329931618554516,9,0.975,0.975,0.9916666666666667,0.9833333333333333,0.9833333333333333,0.9816666666666667,0.006236095644623249
1,0.0015956401824951173,0.0004886411340861035,0.0001998424530029297,0.0003996849060058594,1,0.0,rbf,"{'C': 1, 'gamma': 0.0, 'kernel': 'rbf'}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1792,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2,0.0005986213684082032,0.0004887723083287987,0.0005981922149658203,0.0004884219991213904,1,0.1,linear,"{'C': 1, 'gamma': 0.1, 'kernel': 'linear'}",0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,1.0,0.98,0.016329931618554516,9,0.975,0.975,0.9916666666666667,0.9833333333333333,0.9833333333333333,0.9816666666666667,0.006236095644623249
3,0.0010003089904785157,5.821711093962683e-06,0.0005954742431640625,0.00048623032881763137,1,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,1.0,0.98,0.016329931618554516,9,0.975,0.9583333333333334,0.975,1.0,0.9583333333333334,0.9733333333333333,0.01527525231651945
4,0.000800466537475586,0.0007469117884745855,0.000595712661743164,0.0004864272995227863,1,0.2,linear,"{'C': 1, 'gamma': 0.2, 'kernel': 'linear'}",0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,1.0,0.98,0.016329931618554516,9,0.975,0.975,0.9916666666666667,0.9833333333333333,0.9833333333333333,0.9816666666666667,0.006236095644623249
5,0.0009972572326660157,2.78041453115716e-07,0.0005987167358398437,0.00048885078016421,1,0.2,rbf,"{'C': 1, 'gamma': 0.2, 'kernel': 'rbf'}",0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,1.0,0.98,0.016329931618554516,9,0.9833333333333333,0.9833333333333333,0.9916666666666667,0.9833333333333333,0.975,0.9833333333333332,0.005270462766947316
6,0.0005984783172607421,0.0004886564381662478,0.0005984783172607421,0.0004886555308230838,1,0.30000000000000004,linear,"{'C': 1, 'gamma': 0.30000000000000004, 'kernel': 'linear'}",0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,1.0,0.98,0.016329931618554516,9,0.975,0.975,0.9916666666666667,0.9833333333333333,0.9833333333333333,0.9816666666666667,0.006236095644623249
7,0.0009972572326660157,5.309833872633002e-07,0.00019941329956054687,0.00039882659912109374,1,0.30000000000000004,rbf,"{'C': 1, 'gamma': 0.30000000000000004, 'kernel': 'rbf'}",0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,1.0,0.98,0.016329931618554516,9,0.9833333333333333,0.975,0.9916666666666667,0.9916666666666667,0.975,0.9833333333333334,0.007453559924999322
8,0.0009973526000976562,5.917393515582494e-07,0.0003989696502685547,0.0004886360853561638,1,0.4,linear,"{'C': 1, 'gamma': 0.4, 'kernel': 'linear'}",0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,1.0,0.98,0.016329931618554516,9,0.975,0.975,0.9916666666666667,0.9833333333333333,0.9833333333333333,0.9816666666666667,0.006236095644623249
9,0.0009946346282958985,5.022433230384667e-06,0.00039916038513183595,0.0004888697798968971,1,0.4,rbf,"{'C': 1, 'gamma': 0.4, 'kernel': 'rbf'}",0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,1.0,0.98,0.016329931618554516,9,0.9833333333333333,0.9833333333333333,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.9883333333333333,0.0040824829046386705
10,0.0001994609832763672,0.0003989219665527344,0.0005987644195556641,0.0004888897137063731,1,0.5,linear,"{'C': 1, 'gamma': 0.5, 'kernel': 'linear'}",0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,1.0,0.98,0.016329931618554516,9,0.975,0.975,0.9916666666666667,0.9833333333333333,0.9833333333333333,0.9816666666666667,0.006236095644623249
11,0.0009977340698242188,1.0381479767359372e-06,0.0009962081909179687,9.60800250988478e-07,1,0.5,rbf,"{'C': 1, 'gamma': 0.5, 'kernel': 'rbf'}",0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,1.0,0.98,0.016329931618554516,9,0.9666666666666667,0.9833333333333333,0.9833333333333333,0.9916666666666667,0.975,0.9799999999999999,0.008498365855987976
12,0.0009964466094970702,4.177703116189863e-06,0.0005992889404296875,0.0004893331772966939,1,0.6000000000000001,linear,"{'C': 1, 'gamma': 0.6000000000000001, 'kernel': 'linear'}",0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,1.0,0.98,0.016329931618554516,9,0.975,0.975,0.9916666666666667,0.9833333333333333,0.9833333333333333,0.9816666666666667,0.006236095644623249
13,0.0007973670959472656,0.0003986835907469673,0.0005984783172607421,0.0004886555540883141,1,0.6000000000000001,rbf,"{'C': 1, 'gamma': 0.6000000000000001, 'kernel': 'rbf'}",0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,1.0,0.98,0.016329931618554516,9,0.975,0.9833333333333333,0.9833333333333333,1.0,0.975,0.9833333333333332,0.009128709291752777
14,0.0007923126220703125,0.0003962281342912778,0.00039873123168945315,0.0004883440543553797,1,0.7000000000000001,linear,"{'C': 1, 'gamma': 0.7000000000000001, 'kernel': 'linear'}",0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,1.0,0.98,0.016329931618554516,9,0.975,0.975,0.9916666666666667,0.9833333333333333,0.9833333333333333,0.9816666666666667,0.006236095644623249
15,0.0007958412170410156,0.00039793633612195356,0.0006008625030517578,0.0004906231581154378,1,0.7000000000000001,rbf,"{'C': 1, 'gamma': 0.7000000000000001, 'kernel': 'rbf'}",0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,1.0,0.98,0.016329931618554516,9,0.975,0.9833333333333333,0.9833333333333333,1.0,0.9916666666666667,0.9866666666666667,0.008498365855987991
16,0.0003987789154052734,0.0004884025769447337,0.000595998764038086,0.0004866471271130796,1,0.8,linear,"{'C': 1, 'gamma': 0.8, 'kernel': 'linear'}",0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,1.0,0.98,0.016329931618554516,9,0.975,0.975,0.9916666666666667,0.9833333333333333,0.9833333333333333,0.9816666666666667,0.006236095644623249
17,0.0011967658996582032,0.00039868367629362244,0.0,0.0,1,0.8,rbf,"{'C': 1, 'gamma': 0.8, 'kernel': 'rbf'}",0.9666666666666667,1.0,0.9333333333333333,0.9666666666666667,1.0,0.9733333333333334,0.024944382578492935,344,0.975,0.9833333333333333,0.9916666666666667,1.0,0.9916666666666667,0.9883333333333333,0.008498365855987991
18,0.0005988597869873047,0.0004889671157828317,0.00040135383605957033,0.0004915677607125167,1,0.9,linear,"{'C': 1, 'gamma': 0.9, 'kernel': 'linear'}",0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,1.0,0.98,0.016329931618554516,9,0.975,0.975,0.9916666666666667,0.9833333333333333,0.9833333333333333,0.9816666666666667,0.006236095644623249
19,0.0009987831115722656,2.736729593712186e-06,0.0,0.0,1,0.9,rbf,"{'C': 1, 'gamma': 0.9, 'kernel': 'rbf'}",0.9666666666666667,1.0,0.9333333333333333,0.9666666666666667,1.0,0.9733333333333334,0.024944382578492935,344,0.975,0.9833333333333333,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.9866666666666667,0.006666666666666692
20,0.0007964134216308594,0.00039821323436938546,0.0003990650177001953,0.0004887528395952576,1,1.0,linear,"{'C': 1, 'gamma': 1.0, 'kernel': 'linear'}",0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,1.0,0.98,0.016329931618554516,9,0.975,0.975,0.9916666666666667,0.9833333333333333,0.9833333333333333,0.9816666666666667,0.006236095644623249
21,0.0009970664978027344,2.611744678045111e-07,0.000997638702392578,0.0006309020637274551,1,1.0,rbf,"{'C': 1, 'gamma': 1.0, 'kernel': 'rbf'}",0.9666666666666667,1.0,0.9,0.9666666666666667,1.0,0.9666666666666667,0.036514837167011066,976,0.975,0.9833333333333333,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.9866666666666667,0.006666666666666692
22,0.0005986213684082032,0.0004887723083287987,0.00039691925048828124,0.00048613417084102014,1,1.1,linear,"{'C': 1, 'gamma': 1.1, 'kernel': 'linear'}",0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,1.0,0.98,0.016329931618554516,9,0.975,0.975,0.9916666666666667,0.9833333333333333,0.9833333333333333,0.9816666666666667,0.006236095644623249
23,0.0009972572326660157,2.78041453115716e-07,0.0,0.0,1,1.1,rbf,"{'C': 1, 'gamma': 1.1, 'kernel': 'rbf'}",0.9666666666666667,1.0,0.9,0.9666666666666667,1.0,0.9666666666666667,0.036514837167011066,976,0.975,0.9833333333333333,0.9916666666666667,0.9916666666666667,0.9833333333333333,0.985,0.0062360956446232615
24,0.0025928497314453127,0.003709788859960698,0.0003991127014160156,0.0004888113271977794,1,1.2000000000000002,linear,"{'C': 1, 'gamma': 1.2000000000000002, 'kernel': 'linear'}",0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,1.0,0.98,0.016329931618554516,9,0.975,0.975,0.9916666666666667,0.9833333333333333,0.9833333333333333,0.9816666666666667,0.006236095644623249
25,0.0011968135833740235,0.0003991367248542491,0.000798177719116211,0.0009775641406316428,1,1.2000000000000002,rbf,"{'C': 1, 'gamma': 1.2000000000000002, 'kernel': 'rbf'}",0.9666666666666667,1.0,0.9,0.9666666666666667,1.0,0.9666666666666667,0.036514837167011066,976,0.975,0.9833333333333333,0.9916666666666667,0.9916666666666667,0.9833333333333333,0.985,0.0062360956446232615
26,0.0005980491638183594,0.0004883051052450183,0.0003986835479736328,0.0004882856830753314,1,1.3,linear,"{'C': 1, 'gamma': 1.3, 'kernel': 'linear'}",0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,1.0,0.98,0.016329931618554516,9,0.975,0.975,0.9916666666666667,0.9833333333333333,0.9833333333333333,0.9816666666666667,0.006236095644623249
27,0.000997447967529297,7.008046367978606e-07,0.0005980491638183594,0.0004883051052450183,1,1.3,rbf,"{'C': 1, 'gamma': 1.3, 'kernel': 'rbf'}",0.9666666666666667,1.0,0.9,0.9666666666666667,1.0,0.9666666666666667,0.036514837167011066,976,0.975,0.9833333333333333,0.9916666666666667,0.9916666666666667,0.9833333333333333,0.985,0.0062360956446232615
28,0.0006028175354003906,0.0004922491766540548,0.0005976200103759765,0.0004879584307012752,1,1.4000000000000001,linear,"{'C': 1, 'gamma': 1.4000000000000001, 'kernel': 'linear'}",0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,1.0,0.98,0.016329931618554516,9,0.975,0.975,0.9916666666666667,0.9833333333333333,0.9833333333333333,0.9816666666666667,0.006236095644623249
29,0.0012010097503662109,0.0004017180741913163,0.0001972198486328125,0.000394439697265625,1,1.4000000000000001,rbf,"{'C': 1, 'gamma': 1.4000000000000001, 'kernel': 'rbf'}",0.9666666666666667,1.0,0.9,0.9666666666666667,1.0,0.9666666666666667,0.036514837167011066,976,0.975,0.9833333333333333,0.9916666666666667,0.9916666666666667,0.9833333333333333,0.985,0.0062360956446232615
30,0.0007976531982421875,0.00039882679865835296,0.0001995086669921875,0.000399017333984375,1,1.5,linear,"{'C': 1, 'gamma': 1.5, 'kernel': 'linear'}",0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,1.0,0.98,0.016329931618554516,9,0.975,0.975,0.9916666666666667,0.9833333333333333,0.9833333333333333,0.9816666666666667,0.006236095644623249
