,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.12247142791748047,0.005329735005619224,0.0017954349517822266,0.0007461366110033488,auto,1,10,"{'max_features': 'auto', 'min_samples_leaf': 1, 'n_estimators': 10}",0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9333333333333333,1.0,0.96,0.024944382578492935,4,1.0,0.9916666666666667,1.0,0.9916666666666667,1.0,0.9966666666666667,0.004082482904638616
1,0.11303768157958985,0.0014489103428946698,0.0016636848449707031,0.0008177227442402521,auto,1,11,"{'max_features': 'auto', 'min_samples_leaf': 1, 'n_estimators': 11}",0.9666666666666667,0.9666666666666667,0.9,0.9333333333333333,1.0,0.9533333333333334,0.03399346342395189,18,0.9833333333333333,0.9916666666666667,1.0,1.0,1.0,0.9949999999999999,0.006666666666666682
2,0.1132960319519043,0.0021491775432764568,0.0021946907043457033,0.0003988518483430513,auto,1,12,"{'max_features': 'auto', 'min_samples_leaf': 1, 'n_estimators': 12}",0.9666666666666667,0.9666666666666667,0.9,0.8666666666666667,1.0,0.94,0.04898979485566356,30,1.0,1.0,1.0,0.9916666666666667,0.9916666666666667,0.9966666666666667,0.004082482904638616
3,0.11039433479309083,0.002181570837545391,0.0017156600952148438,0.00039270077526693296,auto,1,13,"{'max_features': 'auto', 'min_samples_leaf': 1, 'n_estimators': 13}",0.9666666666666667,0.9666666666666667,0.9,0.9333333333333333,1.0,0.9533333333333334,0.03399346342395189,18,0.9916666666666667,1.0,1.0,0.9916666666666667,1.0,0.9966666666666667,0.004082482904638616
4,0.1273200511932373,0.019233297548510237,0.0019337654113769532,0.000641488009895565,auto,1,14,"{'max_features': 'auto', 'min_samples_leaf': 1, 'n_estimators': 14}",0.9333333333333333,0.9666666666666667,0.9333333333333333,0.9333333333333333,1.0,0.9533333333333334,0.02666666666666666,18,1.0,0.9916666666666667,1.0,1.0,1.0,0.9983333333333334,0.003333333333333322
5,0.12054967880249023,0.009135936000819855,0.0015246868133544922,0.0004604716965003006,auto,1,15,"{'max_features': 'auto', 'min_samples_leaf': 1, 'n_estimators': 15}",0.9666666666666667,0.9666666666666667,0.9333333333333333,0.8666666666666667,1.0,0.9466666666666667,0.04521553322083511,26,1.0,0.9916666666666667,1.0,1.0,1.0,0.9983333333333334,0.003333333333333322
6,0.11436944007873535,0.005744148312425888,0.0015202999114990235,0.0007738955227225166,auto,1,16,"{'max_features': 'auto', 'min_samples_leaf': 1, 'n_estimators': 16}",0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9333333333333333,1.0,0.96,0.024944382578492935,4,0.9916666666666667,1.0,1.0,1.0,1.0,0.9983333333333334,0.003333333333333322
7,0.11329684257507325,0.002238799662348913,0.0021940231323242187,0.0007468374001394914,auto,1,17,"{'max_features': 'auto', 'min_samples_leaf': 1, 'n_estimators': 17}",0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9666666666666667,1.0,0.9666666666666667,0.02108185106778919,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8,0.11649875640869141,0.0032342938781510636,0.001784372329711914,0.000743421678644108,auto,1,18,"{'max_features': 'auto', 'min_samples_leaf': 1, 'n_estimators': 18}",0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9333333333333333,1.0,0.96,0.024944382578492935,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9,0.11690587997436523,0.0044609149771030416,0.001993751525878906,0.00039545254625667284,auto,1,19,"{'max_features': 'auto', 'min_samples_leaf': 1, 'n_estimators': 19}",0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9333333333333333,1.0,0.96,0.024944382578492935,4,0.9916666666666667,1.0,1.0,0.9916666666666667,1.0,0.9966666666666667,0.004082482904638616
10,0.10851101875305176,0.001162394102327438,0.0009960174560546876,4.33528638179043e-06,auto,51,10,"{'max_features': 'auto', 'min_samples_leaf': 51, 'n_estimators': 10}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
11,0.11050500869750976,0.0015959323291230422,0.0011962413787841796,0.0003993039772334328,auto,51,11,"{'max_features': 'auto', 'min_samples_leaf': 51, 'n_estimators': 11}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
12,0.11130285263061523,0.0037091816101568393,0.001994466781616211,0.0006293941909277324,auto,51,12,"{'max_features': 'auto', 'min_samples_leaf': 51, 'n_estimators': 12}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
