,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_weights,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.0015942573547363282,0.0013523215668687207,0.006582736968994141,0.009176254348035316,1,uniform,,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9333333333333333,1.0,0.96,0.024944382578492935,42,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,0.0007976531982421875,0.00039882748278534104,0.003191232681274414,0.0021301428714764732,2,uniform,,"{'n_neighbors': 2, 'weights': 'uniform'}",0.9666666666666667,0.9333333333333333,0.9333333333333333,0.9,1.0,0.9466666666666667,0.03399346342395189,60,0.975,0.9833333333333333,0.975,0.9833333333333333,0.975,0.9783333333333333,0.004082482904638616
2,0.0009956836700439453,2.5473995951067125e-06,0.004389715194702148,0.004351362466694766,3,uniform,,"{'n_neighbors': 3, 'weights': 'uniform'}",0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9666666666666667,1.0,0.9666666666666667,0.02108185106778919,29,0.9583333333333334,0.9583333333333334,0.9666666666666667,0.9666666666666667,0.95,0.96,0.0062360956446232485
3,0.001200103759765625,0.00040452498232330025,0.0019917011260986326,0.0012569444440011157,4,uniform,,"{'n_neighbors': 4, 'weights': 'uniform'}",0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,1.0,0.9733333333333334,0.01333333333333333,23,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.975,0.9666666666666667,0.9633333333333333,0.006666666666666643
4,0.0009976863861083985,0.0006308265385255947,0.0047871112823486325,0.006627376538291062,5,uniform,,"{'n_neighbors': 5, 'weights': 'uniform'}",0.9666666666666667,1.0,0.9333333333333333,0.9666666666666667,1.0,0.9733333333333334,0.024944382578492935,23,0.9666666666666667,0.9666666666666667,0.975,0.975,0.9666666666666667,0.97,0.004082482904638616
5,0.0007977485656738281,0.0007462254571941784,0.0011968612670898438,0.0003989935313048969,6,uniform,,"{'n_neighbors': 6, 'weights': 'uniform'}",0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,1.0,0.98,0.016329931618554516,9,0.9666666666666667,0.975,0.975,0.9833333333333333,0.9666666666666667,0.9733333333333333,0.006236095644623214
6,0.0,0.0,0.005784940719604492,0.00808768935500469,7,uniform,,"{'n_neighbors': 7, 'weights': 'uniform'}",0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,1.0,0.98,0.016329931618554516,9,0.9666666666666667,0.9666666666666667,0.975,0.9833333333333333,0.975,0.9733333333333333,0.006236095644623214
7,0.0003991127014160156,0.0004888113271977794,0.0015953540802001952,0.0004884024605583174,8,uniform,,"{'n_neighbors': 8, 'weights': 'uniform'}",0.9666666666666667,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9666666666666667,0.029814239699997188,29,0.975,0.9833333333333333,0.975,0.9916666666666667,0.975,0.9799999999999999,0.006666666666666682
8,0.00039916038513183595,0.000488869640366668,0.0013963699340820313,0.0004892400923487584,9,uniform,,"{'n_neighbors': 9, 'weights': 'uniform'}",0.9666666666666667,1.0,0.9666666666666667,0.9333333333333333,1.0,0.9733333333333334,0.024944382578492935,23,0.975,0.9833333333333333,0.975,0.9833333333333333,0.975,0.9783333333333333,0.004082482904638616
9,0.0007980823516845703,0.0003990412435060334,0.0011967658996582032,0.0003986838473868777,10,uniform,,"{'n_neighbors': 10, 'weights': 'uniform'}",0.9666666666666667,1.0,1.0,0.9333333333333333,1.0,0.98,0.02666666666666666,9,0.975,0.975,0.975,0.9833333333333333,0.9583333333333334,0.9733333333333333,0.008164965809277232
10,0.0005987644195556641,0.0004888893416408449,0.0011967658996582032,0.00039999500292731724,1,distance,1,"{'n_neighbors': 1, 'p': 1, 'weights': 'distance'}",0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9333333333333333,1.0,0.96,0.024944382578492935,42,1.0,1.0,1.0,1.0,1.0,1.0,0.0
11,0.0005982398986816406,0.000488461134416572,0.0015961170196533204,0.0004890255219635535,1,distance,2,"{'n_neighbors': 1, 'p': 2, 'weights': 'distance'}",0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9333333333333333,1.0,0.96,0.024944382578492935,42,1.0,1.0,1.0,1.0,1.0,1.0,0.0
12,0.0009969711303710938,0.0008918567814229952,0.0029923439025878905,0.001994633733755294,1,distance,3,"{'n_neighbors': 1, 'p': 3, 'weights': 'distance'}",0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9333333333333333,1.0,0.96,0.024944382578492935,42,1.0,1.0,1.0,1.0,1.0,1.0,0.0
13,0.000997304916381836,5.43678009557313e-07,0.0015955924987792968,0.0007980944128356456,1,distance,4,"{'n_neighbors': 1, 'p': 4, 'weights': 'distance'}",0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9333333333333333,1.0,0.96,0.024944382578492935,42,1.0,1.0,1.0,1.0,1.0,1.0,0.0
14,0.0007977962493896484,0.00039889873388653267,0.001396036148071289,0.00048814960377725134,1,distance,5,"{'n_neighbors': 1, 'p': 5, 'weights': 'distance'}",0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9333333333333333,1.0,0.96,0.024944382578492935,42,1.0,1.0,1.0,1.0,1.0,1.0,0.0
